Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,RCOSC_50MHZ
Averaging_Filter_0/Primitives,15,54,0,0,0,0,0,0,0,0,0,0
COREABC_C0_0/COREABC_C0_0/Primitives,256,37,0,0,0,0,0,0,0,0,1,0
COREABC_C0_0/COREABC_C0_0/URAM.UR/Primitives,14,1,0,0,0,0,0,0,0,0,0,0
COREABC_C0_0/COREABC_C0_0/URAM.UR/UG4.UR8.ram_r0c0/Primitives,3,0,36,36,0,0,1,0,0,0,0,0
COREABC_C0_0/COREABC_C0_0/URAM.UR/UG4.UR8.ram_r1c0/Primitives,0,0,36,36,0,0,1,0,0,0,0,0
COREABC_C0_0/COREABC_C0_0/UROM.UROM/Primitives,123,17,0,0,0,0,0,0,0,0,0,0
CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/Primitives,8,0,0,0,0,0,0,0,0,0,0,0
FCCC_C0_0/FCCC_C0_0/Primitives,0,0,0,0,0,0,0,0,0,1,1,0
FFT_0/DPSRAM_0/DPSRAM_C0_0/Primitives,0,0,36,36,0,0,0,1,0,0,0,0
FFT_0/DPSRAM_1/DPSRAM_C0_0/Primitives,0,0,36,36,0,0,0,1,0,0,0,0
FFT_0/DPSRAM_2/DPSRAM_C0_0/Primitives,0,0,36,36,0,0,0,1,0,0,0,0
FFT_0/DPSRAM_3/DPSRAM_C0_0/Primitives,0,0,36,36,0,0,0,1,0,0,0,0
FFT_0/FFT_Sample_Loader_0/Primitives,150,21,0,0,0,0,0,0,0,0,0,0
FFT_0/FFT_Sample_Outputer_0/Primitives,28,20,0,0,0,0,0,0,0,0,0,0
FFT_0/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/Primitives,0,0,36,36,0,0,0,0,1,0,0,0
FFT_0/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_1/HARD_MULT_ADDSUB_C0_0/U0/Primitives,0,0,36,36,0,0,0,0,1,0,0,0
FFT_0/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/Primitives,131,239,0,0,0,0,0,0,0,0,0,0
FFT_0/FFT_Transformer_0/Primitives,304,174,0,0,0,0,0,0,0,0,0,0
FFT_0/FFT_Transformer_0/Twiddle_table_0/Primitives,152,17,0,0,0,0,0,0,0,0,0,0
FFT_0/Primitives,257,33,0,0,0,0,0,0,0,0,0,0
FFT_Result_to_Pixel_Bar_0/Alpha_Max_plus_Beta_Min_0/HARD_MULT_ADDSUB_C1_0/HARD_MULT_ADDSUB_C1_0/U0/Primitives,0,0,36,36,0,0,0,0,1,0,0,0
FFT_Result_to_Pixel_Bar_0/Alpha_Max_plus_Beta_Min_0/Primitives,98,68,0,0,0,0,0,0,0,0,0,0
FFT_Result_to_Pixel_Bar_0/Pixelbar_Creator_0/Primitives,44,33,0,0,0,0,0,0,0,0,0,0
FFT_Result_to_Pixel_Bar_0/Primitives,85,32,0,0,0,0,0,0,0,0,1,0
Nokia5110_Driver_0/LCD_timer/Primitives,33,20,0,0,0,0,0,0,0,0,0,0
Nokia5110_Driver_0/Primitives,197,105,288,288,0,0,8,0,0,0,1,0
Nokia5110_Driver_0/SPI_timer/Primitives,11,7,0,0,0,0,0,0,0,0,1,0
OSC_C0_0/OSC_C0_0/Primitives,0,0,0,0,0,0,0,0,0,0,0,1
Power_On_Reset_Delay_0/Primitives,22,15,0,0,0,0,0,0,0,0,1,0
Primitives/Primitives,1,0,0,0,8,1,0,0,0,0,1,0
Sigma_Delta_LVDS_ADC_0/Primitives,25,28,0,0,0,0,0,0,0,0,0,0
Sigma_Delta_LVDS_ADC_0/Sample_CLK_timer/Primitives,1,1,0,0,0,0,0,0,0,0,0,0
timer_0/Primitives,37,20,0,0,0,0,0,0,0,0,0,0
